SEX ,BT ,SPINFINE ,yWool ,yearlingAGE ,AdultAge   ,Dag  ,CCov ,BDWR ,Pregnancy ,BCS ,Weight  ,DryWt ,Rain ,Temp ,AdultWool
2,2,29.6,5.1,309,354,1,2,1,1,4,56.2,0.86,1.53,13.78,7.4
2,2,15.3,3.1,305,364,2,4,3,1,3,40.2,1.15,0.98,11.57,7.7
2,3,15.1,2.4,282,353,1,2,2,2,3.5,52.7,2.39,2.98,10.05,5
2,3,16.6,2.46,322,350,1,2,3,1,2.5,28.4,1.18,1.54,10.82,4.801
2,2,16.4,3.2,397,274,4,4,2,2,3,45.1,0.93,1.58,6.09,3.5
2,3,23.4,3,322,343,5,4,1,0,3,41.7,1.98,1.28,9.8,4.7
2,1,25,4.8,328,368,3,4,2,0,4,59.4,1.02,1.07,12.31,7.1
2,2,17.3,4.3,288,362,1,3,2,0,3.5,33.7,1.29,1.54,11.22,9.21
2,1,16.5,4.2,304,354,3,3,3,2,3,48,0.86,1.53,13.78,8.7
2,1,16.9,2.2,373,280,3,3,3,1,3.5,51.9,0.93,1.58,6.15,2.6
2,1,23.1,2.8,377,274,2,2,1,1,3.5,49.3,0.93,1.58,6.15,2.9
1,2,19,3.77,284,353,3,1,3,2,3,41,1.05,1.7,11.9,8.62
2,2,15,1.8,301,300,1,2,3,0,2.7,40.7,1.69,0.81,9.98,2.4
2,1,23,4.9,327,368,1,4,1,2,4,58.4,1.02,1.07,12.31,6
2,1,16.1,3.6,370,355,2,4,3,0,3.5,42.8,1.34,1.83,8.27,4.8
2,2,23.5,3.2,340,348,2,4,1,1,4,51.5,1.42,1.05,11.78,3.9
1,2,16.3,4.2,458,368,4,3,3,2,2.5,35.2,0.66,1.42,9.01,4.6
2,2,16.3,3.4,423,359,1,1,2,2,2.5,57.8,1.91,1.57,9.96,3.6
2,1,16.1,2.4,318,375,1,3,2,2,3.5,52.5,0.72,2.6,8.92,5.2
2,2,20,4.2,298,370,3,3,3,2,3.3,47.3,1.68,2.17,13.4,6.5
2,2,19.1,4.6,340,348,2,5,3,1,3.5,51,1.42,1.05,11.78,6.5
2,2,15.2,3.3,305,388,2,4,4,1,3,27.3,1.02,0.84,11.96,8.3
1,2,15.8,3.14,324,366,1,5,4,1,2,24.3,0.99,1.07,10.15,5.1
2,2,16.6,2.2,301,331,4,5,1,2,3.3,35,2.95,2.16,9.49,4.5
2,2,16.6,3.98,280,353,2,3,3,0,3,38,1.05,1.7,11.9,6.48
2,2,17,3,298,373,1,2,3,2,3.5,53.3,1.8,2.54,8.43,4.8
1,2,17.8,3.5,439,371,1,4,3,0,3,45.7,0.89,1.14,7.35,6.9
2,1,15.5,2.3,373,274,3,3,3,0,3,42.7,0.93,1.58,6.09,3.1
2,1,12.8,5.2,464,368,2,3,1,1,3,44.6,0.66,1.42,9.01,3.8
2,2,17.1,3.3,296,365,1,4,2,2,3,43.6,0.81,1.84,14.3,7.1
2,2,28.9,5.5,303,370,2,3,3,2,3.7,55.6,1.68,2.1,13.38,7.7
2,2,16.9,3.4,281,353,1,3,2,2,3.5,52.7,2.39,2.98,10.05,6.3
2,1,16.6,4.4,422,359,1,1,2,2,2.5,53.6,1.91,1.57,9.96,3.7
1,1,13.6,6,459,368,2,4,3,2,3,45.8,0.66,1.42,9.01,5.7
2,2,16.9,3.8,419,359,1,1,1,1,2.5,53.6,1.91,1.57,9.96,3.5
2,1,14.2,2.3,351,346,3,4,2,0,3,41.9,1.32,1.84,8.56,4.55
1,1,15.5,3.95,369,355,2,3,2,2,3,36.8,1.34,1.83,8.27,3.7
2,3,18.2,3.4,340,348,2,4,2,0,3.5,32,1.42,1.05,11.78,4.5
2,1,21.9,3.5,322,367,1,4,2,0,3,40.6,0.99,1.07,10.15,4.19
2,2,18,4.1,295,361,1,3,3,2,3.5,43.9,1.29,1.54,11.22,8.57
2,2,18.3,4.6,416,359,2,2,2,1,2.5,52.6,1.91,1.57,9.96,3.8
2,1,14.9,1.7,369,280,2,3,1,1,3,42.9,0.93,1.58,6.09,1.9
2,2,20.5,4.7,297,366,1,3,1,0,3.3,69,0.81,1.84,14.3,7.9
1,3,18.6,3.2,301,354,1,3,2,1,3.5,45.2,0.86,1.53,13.78,7.1
1,1,13.8,3.01,320,362,1,4,5,1,3,39,0.93,1.04,10.75,7.324
2,1,14.7,3.3,290,379,2,3,3,1,3,42.5,0.99,1.09,11.11,7.1
2,2,17.2,2,332,359,3,2,2,0,3.5,47.9,0.71,2.56,8.67,5
2,1,12.8,7,463,368,2,3,1,2,4,47.4,0.66,1.42,9.01,5.1
2,2,24.9,3.4,422,372,1,1,1,0,3,44.8,1.89,1.22,9.11,4.1
1,2,13.3,3.8,326,375,2,4,3,2,2,29.6,2.17,2.52,8.19,4.7
2,2,14.8,5.3,458,368,2,2,1,1,4,45.4,0.66,1.42,9.01,4
